公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,city,year,area
23060248,全家便利商店股份有限公司,54372288,台北市第五0四分公司,臺北市中山區林森北路428號,1,1021126,1060217,臺北市,102,中山區
23060248,全家便利商店股份有限公司,54373625,台北市第五0六分公司,臺北市中山區民權東路2段152巷14號,1,1021212,1060215,臺北市,102,中山區
23060248,全家便利商店股份有限公司,54375433,台北市第五0七分公司,臺北市中山區林森北路630、632號,1,1030108,1060217,臺北市,103,中山區
23060248,全家便利商店股份有限公司,54383686,台北市第五二O分公司,臺北市中山區農安街86、84號1樓,1,1030605,1060215,臺北市,103,中山區
23060248,全家便利商店股份有限公司,54385170,台北市第五二五分公司,臺北市中山區德惠街16-7號,1,1030627,1060215,臺北市,103,中山區
23060248,全家便利商店股份有限公司,54392427,台北市第五三二分公司,臺北市中山區農安街160號,1,1031106,1060215,臺北市,103,中山區
23060248,全家便利商店股份有限公司,54393636,台北市第五三五分公司,臺北市中山區合江街87、89號1樓,1,1031125,1060217,臺北市,103,中山區
23060248,全家便利商店股份有限公司,54397035,台北市第五三七分公司,臺北市中山區新生北路1段116號、118號,1,1040122,1060215,臺北市,104,中山區
23060248,全家便利商店股份有限公司,54398962,台北市第五三九分公司,臺北市中山區民生東路1段39號,3,1040309,1060215,臺北市,104,中山區
23060248,全家便利商店股份有限公司,54912139,台北市第六五五分公司,臺北市中山區復華里長春路410號1樓,1,1080522,1100513,臺北市,108,中山區
23060248,全家便利商店股份有限公司,54914235,台北市第六六三分公司,臺北市中山區朱園里松江路61之1號1樓,1,1080726,       ,臺北市,108,中山區
23060248,全家便利商店股份有限公司,54914241,台北市第六六四分公司,臺北市中山區復華里龍江路102號1樓,1,1080726,       ,臺北市,108,中山區
23060248,全家便利商店股份有限公司,54916249,台北市第六七一分公司,臺北市中山區新生里民權東路2段46號1樓,1,1081001,       ,臺北市,108,中山區
23060248,全家便利商店股份有限公司,70746880,恩主分公司,臺北市中山區農安街二二七之一號一樓,3,0880816,0920603,臺北市,88,中山區
23060248,全家便利商店股份有限公司,70750286,錦西分公司,臺北市中山區錦西街8號1樓,1,0880922,1060216,臺北市,88,中山區
23060248,全家便利商店股份有限公司,70759049,聚聖分公司,臺北市中山區聚盛里中山北路二段九十五號一樓,3,0881218,0891002,臺北市,88,中山區
23060248,全家便利商店股份有限公司,70773247,松平分公司,臺北市中山區中吉里四平街47號1樓,1,0890520,1060215,臺北市,89,中山區
23060248,全家便利商店股份有限公司,70779805,北大分公司,臺北市中山區江山里錦州街四二八號一樓,3,0890714,0920602,臺北市,89,中山區
23060248,全家便利商店股份有限公司,70796071,宜林分公司,臺北市中山區正義里林森北路一三一號一樓,3,0910123,0920602,臺北市,91,中山區
23060248,全家便利商店股份有限公司,70799865,樂群分公司,臺北市中山區成功里樂群二路186號1樓,1,0900116,1060217,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70801449,敬業分公司,臺北市中山區成功里敬業三路一六二巷一一九號一樓,3,0900208,0910627,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70802952,長興分公司,臺北市中山區中山里長春路九號一樓,3,0900314,0911202,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70803354,匯豐分公司,臺北市中山區中原里南京東路二段十一號一樓,3,0900312,0920530,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70803360,集英分公司,臺北市中山區集英里民權西路六十四號一樓,3,0900312,0911002,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70806900,晶華分公司,臺北市中山區中山里林森北路三三四號一樓,3,0900427,0920602,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70808718,北安分公司,臺北市中山區成功里北安路八三九之一號一樓,3,0900522,0920606,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70809385,北銀分公司,臺北市中山區民安里中山北路二段五十六號一樓,3,0900605,0920606,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70818271,華泰分公司,臺北市中山區聚盛里民生東路一段三十九號一樓,3,0900924,0920606,臺北市,90,中山區
23060248,全家便利商店股份有限公司,70822970,新生分公司,臺北市中山區正義里新生北路一段一一二號一樓,3,0901108,0920606,臺北市,90,中山區
23060248,全家便利商店股份有限公司,80023933,德城分公司,臺北市中山區晴光里德惠街十六號一樓,3,0920616,       ,臺北市,92,中山區
23060248,全家便利商店股份有限公司,80029319,北鄰分公司,臺北市中山區永安里北安路四五八巷四七弄十三號一樓,3,0920820,       ,臺北市,92,中山區
23060248,全家便利商店股份有限公司,80339314,松民分公司,臺北市中山區中央里松江路187號1樓,3,0910729,0920606,臺北市,91,中山區
23060248,全家便利商店股份有限公司,80339644,宜平分公司,臺北市中山區中央里松江路一二三巷三號一樓,3,0910731,0930806,臺北市,91,中山區
23060248,全家便利商店股份有限公司,80354433,江寧分公司,臺北市中山區江寧里民權東路3段64號1樓,1,0920214,1060217,臺北市,92,中山區
23060248,全家便利商店股份有限公司,82948159,台北市第七○九分公司,臺北市中山區中吉里松江路122號1樓,1,1091207,       ,臺北市,109,中山區
23060248,全家便利商店股份有限公司,83131909,台北市第七○四分公司,臺北市中山區金泰里樂群二路265巷20號、22號、26號,1,1091013,       ,臺北市,109,中山區
23060248,全家便利商店股份有限公司,83152663,台北市第六九九分公司,臺北市中山區行政里松江路473號1樓,1,1090909,       ,臺北市,109,中山區
23060248,全家便利商店股份有限公司,83167737,台北市第七○七分公司,臺北市中山區朱園里建國北路1段146號1樓,1,1091028,       ,臺北市,109,中山區
23060248,全家便利商店股份有限公司,83353850,台北市第七一一分公司,臺北市中山區民安里民生西路62號1樓,1,1091216,       ,臺北市,109,中山區
23060248,全家便利商店股份有限公司,83557019,台北市第六八七分公司,臺北市中山區興亞里南京東路二段72號1樓,1,1090331,       ,臺北市,109,中山區
23060248,全家便利商店股份有限公司,84306238,興安分公司,臺北市中山區興安街57號1樓,1,0820409,1060215,臺北市,82,中山區
